Type,                        Txhash,                        BlockTime Unix,                        BlockTime,                        Fee (SOL),                        TokenAccount,                        ChangeType,                        SPL BalanceChange,                        PreBalancer,                        PostBalancer,                        TokenAddress,                        TokenName(off-chain),                        Symbol(off-chain),                        SolTransfer Source,                        SolTransfer Destination,                        Amount (SOL)
TokenChange,4vQqrtXenR9jeCpiqCYp42GhkMmLQKz2GZawuCgDNoRWC8ujTkjBNkswfnyhhJyGD8USQfs2y3QsW1kUfXCib7TC,1662327426,2022-09-04T21:37:06,0.00001,HwAyoMsX1AnBcaxpyydJJLdQAvHBWTnqt3ZrVAPDrN76,dec,-1402.549247683,2805.098495366,1402.549247683,FoRGERiW7odcCBGU1bztZi16osPBHjxharvDathL5eds,FORGE,FORGE,,,
TokenChange,3RDCYne3pSBiRm9kSfj8Edsjg8m4X7Ln87MiWkPErLJ7WWtAxufngq1H1toLNxyrxeGfDkShhpjaEnEffckeK3qb,1662327205,2022-09-04T21:33:25,0.000005,2xazJP6D1sU8nD8K4iABuid1rZ69X46Vei4JwaWPThzz,inc,1,0,1,E6piZ6cX2HHuJT18iEvGnZpFbcn3KUUK4FyhJd288Vnd,Blocksmith Labs #3266,BSL,,,
TokenChange,22EMHmXrZ385omnKrXDgnPoQWbicQfF8aRsBs47268GgGWJCeQqkDa1NYrjfjdLMUt7hAeChi4N9WBGuhstRUps7,1662327149,2022-09-04T21:32:29,0.000005,HwAyoMsX1AnBcaxpyydJJLdQAvHBWTnqt3ZrVAPDrN76,inc,1325.912615739,1479.185879627,2805.098495366,FoRGERiW7odcCBGU1bztZi16osPBHjxharvDathL5eds,FORGE,FORGE,,,
TokenChange,G9958XCGi9977gn2R5LVyGDz9ZJFrTem621b1Er1YbySx4wPmsk5sqxJhd1DtuGEdTzRbF6EM74qjfNt27UbDXK,1660876041,2022-08-19T02:27:21,0.000005,13rzrxSPH37xRGShSHSRVZuJVzn5F5xNGGxtAN27Jgia,inc,1,0,1,FN5aNbhXouUhWpANZWv439uvJdA8LGvNe6YdhtxCsrov,Activity Reward Coin,,,,
TokenChange,2YXfefvJNRnzio1DpxnbQTmJcVVkHU61cXMYY5tKQQbQCf5zSYqjof8c9hAXNgUVyxYJwNEcJijzTozpxVshNqfk,1660876039,2022-08-19T02:27:19,0.000005,13rzrxSPH37xRGShSHSRVZuJVzn5F5xNGGxtAN27Jgia,inc,0,,0,FN5aNbhXouUhWpANZWv439uvJdA8LGvNe6YdhtxCsrov,Activity Reward Coin,,,,
TokenChange,h61mzE3J7J3pVtHaKAGdbVgbS5yXV1vVK1n5k1CE8N5WwfHamtKrxpDGc6LyEWTqCjANs9SoXR7s8Vg7pHDTAvm,1660585438,2022-08-15T17:43:58,0.000005,9XuXtm71JCNEhvCwPfRjXfri4aBRi5DoPD74PfcQUQrq,inc,1,,1,HH276f5tUzSbKAk5fuxA2421PGQ1aR7trX15tq2VR6Nf,Raydium Alpha Tester Invitation,,,,
TokenChange,vYiw4j98Ed7L73zuy2kL2utNyKhmqW32TYGjrDJSQTnfQQWpPjBk4NoKHM4gECxbsRDrz2Zq1aLxdkH9dMTipJ7,1660510017,2022-08-14T20:46:57,0.00001,JBEqSJoUDymAbrps9mGdysBPvzAvkLE7PWj3q3tP6JEs,inc,1,,1,CtSovbspBzKc2zW98xW4BaDHah93FKWSrHcRZcasBwhk,Rugged Revenants Gen 1 #219,,,,
TokenChange,3hNS6CwY5WHzUkPkFiYFLgCuwkrowsMHBgLSBWPx21Lk742rAP6nADgSq6hgDcZtEu2J3jbYWoahYHXTrRk5YkGW,1660509818,2022-08-14T20:43:38,0.00001,5zSyWks7XeXFTV3TpDmDSY1dtwZbv3bG8dobQ2C7hHSm,inc,1,,1,F3aej2tDPitn7Zd9kR8z8z2omjVT4YhJczd8PYSHoTRb,Rugged Revenants Gen 1 #5147,,,,
TokenChange,32u6e8GTi3GLNT5hLN6n7wXPYQzkr5BbUzM4nKo5xpXEsDcahiTCR2ncKxSRiaekn2FePa1Qp8746N1myUjTrFHb,1660509768,2022-08-14T20:42:48,0.00001,GhjQiJoEpMUeiKUNcqVa8DuLjmU33DYgErGT55UnV9au,inc,1,,1,AjbSkL3VnCi6XkeruoFVnNJERNQ7khT5Kx9URgjV74mh,Rugged Revenants Gen 1 #3565,,,,
TokenChange,3rKyCsFDE47p6gk2zNsKpSX7RyDBk6PaJd2DkPRcrJcfREPBM9q1VVpQm6yJvmKd9hmrQYrLeexedjuwxvGmWTNq,1660509744,2022-08-14T20:42:24,0.00001,GDiCkGkXHde43YceEiqmhz5JXspff84P5qTo3X8Zvsun,inc,1,,1,2fXK6Q591gPUwBfKuAex5cA6TweUXhZdZZzJnpZjXRgj,Rugged Revenants Gen 1 #492,,,,
